paper_component,purpose,required_facts,evidence_files,recommended_tables,recommended_figures,safe_claims,current_action
Title block,Identify course project and final evidence status.,"Project title, author, course, date.",Repository metadata.,none,none,Do not call official test preliminary.,Replace preliminary/final ambiguity.
Abstract,"Summarize question, design, data, models, and central finding.","211,059 observations; 484 predictors; RF monthly OOS R2 0.01142675; negative PLS/GB.",cleaning summary; final_prediction_results.csv,final performance table (referenced),none,Weak statistical predictability; no profitability claim.,Rewrite old PLS-first abstract/result framing.
Keywords,Index the study.,stock return prediction; machine learning; out-of-sample evaluation.,paper context,none,none,Use 4-6 terms.,Minor only.
Introduction,Motivate difficult return forecasting and state research question.,Six models; historical-mean benchmark; chronological design.,README; final specs,none,none,Complexity may help but overfit.,Keep current motivation; update outcome preview.
Data,Define stock-month panel and sources.,Feb 1990-Dec 2025; 656 tickers; Yahoo/Compustat/FF/WG.,final parquet; data guide,sample summary,none,State S&P 500-style/non-point-in-time limitation.,Mostly reusable.
Target construction,Define immediately following calendar-month excess return.,Exact-month guard; raw target; Jan 2026 prices only realize Dec 2025 target.,data file 02; cleaning summary,none,none,No missing/gap targets in final rows.,Current target prose is largely correct.
Predictor construction,Describe 124 base + 360 interactions.,"45 continuous, 3 binary, 4 market/VIX, 8 WG, 64 SIC2.",predictor list; config; data guide,predictor-group appendix,optional RF group figure,Do not say 499.,Correct dimensions.
Timing and leakage controls,Explain available-information rules.,Six-month Compustat delay; one-month WG lag; consecutive targets.,files 02-04; data guide,timing table,none,Controls reduce but do not prove perfect point-in-time data.,Remove old audit claims that these remain broken.
Preprocessing,Describe transformations exactly.,Monthly median imputation; continuous-characteristic 1/99 winsorization; raw target.,file 05; cleaning summary,none,none,No rank normalization.,Delete rank equation.
Chronological sample design,Show train/validation/development/test boundaries.,"131,061/35,386/166,447/44,612 rows; ten tuning folds.",final data; utils/data.py,sample split table,none,No random CV.,Current dates are correct.
Models,Explain six active families and rationale.,"HM, OLS-3, PLS, EN, RF, GB.",fixed and test scripts,specification table,none,No Decision Tree.,Add GB; remove Decision Tree.
Hyperparameter tuning,Describe training-only annual folds and criterion.,2005-2014 validation years; mean monthly MSE.,utils/data.py; estimation.py; tuning CSVs,selected parameters,none,GB tuning metrics are not currently authoritative.,Do not claim completed computed GB grid until resolved.
Fixed-versus-optimized validation selection,Explain final version choices before test.,Optimized PLS/EN; fixed 100-tree RF/GB.,family summary; final specs,family comparison,none,"Selection is validation-based, not test-based.",New subsection required.
Evaluation metrics,Define monthly/pooled MSE and OOS R2 separately.,Monthly weighting gives each month equal weight.,evaluation.py,none,none,Correlation undefined for constants.,Clarify current ambiguous R2 equation.
Final test results,Report official 2020-2025 ranking.,"RF, OLS3, EN, HM, PLS, GB; 44,612 rows; 72 months.",final_test_model_comparison.csv,final test performance,monthly OOS R2,"0.01142675 = 1.142675%, not 0.01142675%.",Complete rewrite.
Yearly stability,Prevent overstatement of pooled success.,RF positive in 1/6 years; OLS3 4/6; PLS and GB 1/6.,yearly_prediction_results.csv,full yearly appendix table,yearly monthly OOS R2,Overall RF result is not stable every year.,Complete rewrite.
Model interpretation,Describe coefficients/importance without causal claims.,EN zero coefficients; RF interactions dominate group importance; GB fails.,interpretation CSVs,top features/groups,RF top features,Impurity importance is biased/model-specific.,Replace Decision Tree material.
Limitations,Bound statistical and financial conclusions.,"Ticker universe, Yahoo, target tails, no transaction-cost/portfolio test, open GB provenance.",data guide; audit evidence,none,optional scatter appendix,No profitable-trading claim.,Retain honest limitations and add provenance.
Reproducibility,"Explain permanent inputs, commands, and evidence package.",run_pipeline stale; dependencies unpinned; outputs ignored.,README; shell script; requirements; .gitignore,manifest appendix,none,Do not claim one-command reproducibility yet.,Rewrite after fixes.
Conclusion,Answer research question cautiously.,RF modestly beats benchmark; OLS3 tiny gain; PLS/GB negative; EN constant.,final_prediction_results.csv,none,none,"Weak, unstable statistical evidence only.",Replace PLS-first conclusion.
Appendix,Move supporting evidence out of main narrative.,"Tuning, validation selection, complexity, yearly detail, coefficients/importance.",interpretation and tuning outputs,multiple,detail figures,Render structural blanks as --.,Remove Decision Tree appendix.
References,Support data and model choices.,All used keys currently resolve.,references.bib,none,none,Verify after rewrite.,Six unused entries currently.
